[INFO 2019-01-24 22:04:11]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 22:04:11]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 22:04:11]解析yaml, Path:D:\API_Automation/Params/Yaml/Collections.yaml
[INFO 2019-01-24 22:04:11]解析yaml, Path:D:\API_Automation/Params/Yaml/Personal.yaml
[ERROR 2019-01-24 22:04:11]get cookies error, please checkout!!!
[ERROR 2019-01-24 22:04:12]Response body msg != expected_msg, expected_msg is 继续操作前请注册或者登录., body_msg is error
[INFO 2019-01-24 22:04:30]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 22:04:30]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 22:04:30]解析yaml, Path:D:\API_Automation/Params/Yaml/Collections.yaml
[INFO 2019-01-24 22:04:30]解析yaml, Path:D:\API_Automation/Params/Yaml/Personal.yaml
[ERROR 2019-01-24 22:04:30]get cookies error, please checkout!!!
[INFO 2019-01-24 22:04:38]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 22:04:38]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 22:04:38]解析yaml, Path:D:\API_Automation/Params/Yaml/Collections.yaml
[INFO 2019-01-24 22:04:38]解析yaml, Path:D:\API_Automation/Params/Yaml/Personal.yaml
[ERROR 2019-01-24 22:04:38]get cookies error, please checkout!!!
[INFO 2019-01-25 20:39:30]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-25 20:39:31]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-25 20:39:31]解析yaml, Path:D:\API_Automation/Params/Yaml/Collections.yaml
[INFO 2019-01-25 20:39:31]解析yaml, Path:D:\API_Automation/Params/Yaml/Personal.yaml
[ERROR 2019-01-25 20:39:32]get cookies error, please checkout!!!
